text,Emotion
i seriously hate one subject to death but now i feel reluctant to drop it,anger
im so full of life i feel appalled,disgust
i sit here to write i start to dig out my feelings and i think that i am afraid to accept the possibility that he might not make it,fear
ive been really angry with r and i feel like an idiot for trusting him in the first place,anger
i feel jealous becasue i wanted that kind of love the true connection between two souls and i wanted that,anger
i finally fell asleep feeling angry useless and still full of anxiety,anger
i feel a bit annoyed and antsy in a good way,anger
i was feeling at the start didnt want to move much at all was really glad to experience this glimpse into the sort of vibrant energy i will gain through out the year,joy
i do not always find myself feeling thankful but over the years i ve gathered a few tricks that allow me to feel grateful in the face of moments when the last thing i want to do is say thanks,joy
i feel offended i choose to tell you guys how i feel because i treated you guys as friends and would want to put a stop to all these nonsense,anger
i feel like i have to redeem myself even though i think they realized why i was distraught and were ok with it,sadness
i hope that the next quote will be able to let my special someone knows what im feeling insecure about and understand that no matter how much i trust,fear
i am sitting here typing this and wondering where i belong feeling distracted feeling comfortable feeling misunderstood and hurt,joy
i have a feeling i shall go mad,anger
im feeling deeply overwhelmed by these ordinary tasks,surprise
i expect and i feel content with that,joy
i just couldnt help feeling a little bit bitter towards his great big happy grin,anger
i would feel joyful,joy
i looked at what had happened to us in two generations and looked at what hadn t happened to them in two or three and instead of feeling outraged by their history of aggression i felt privileged by it,anger
id start feeling resentful that i lived in a part of the country where the sun stubbornly refuses to show itself after the end of september,anger
i confess that i was feeling nervous as i made my way to the event venue,fear
i was really worried that i would feel intimidated by monica but when we met that morning she was incredibly welcoming and made me feel relaxed straight away,fear
i was sick with a cold amp not feeling well wondering if i would even be able to have the patience to go to whitleys month photo shoot,surprise
i feel morally outraged and furious more often than i d like,anger
i feel frightened by it all,fear
i know it was not pleasant for her and i feel selfish saying it but i think i would have fallen apart if i had been there,anger
i have just had such a crappy week that i am still feeling all agitated and like the day wasn t what i wanted,anger
i feel reluctant to just leave her alone like that without helping her enough to repay her goodness to me,sadness
i am ashamed when i feel like that the moment i see terrified crying children and dead ones,fear
ive always been very nervous to do something like that as i feel like i am not really that talented to enter something into an official contest,fear
i feel satisfied knowing the dirt and hair is no longer in the car and house,joy
i would accept your gift without feeling mad,anger
im with you when your professor looks at you like a spitball when your friend is dying when you cry into your pillow at night when you feel the dangerous tickles of jealousy luring you down into its lair,sadness
i dunno how it feels to be completely happy the real world has taught me about struggle but what i m going thru is nothing close to struggle,joy
i fear that other people ask me about my feelings i am most reluctant to talk about things,fear
i feel so comfortable around him,joy
i simply said how sorry i am and just got out from her car and got into my house feeling restless,sadness
i am feeling weird and feel wanna know,disgust
i had an incredible feeling of frantic despair,surprise
i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself,anger
i remember feeling the most terrified i had ever felt in my entire life and that its still affecting me now but ive never thought it accounted to trauma,fear
i had for me to confess my feelings for her but still i couldnt bring myself to her for i was scared of losing her once more,fear
im clearly influenced by the dash happiness of emily dickinson for example and i use dashes instead of colons or semi colons to enhance the feelings of rushed enjambment in the sonnet,joy
im not afraid of going on my own but i feel like a lot of people were in groups and a part of me feels like it would be cool to have a small group to hang out with,fear
i feel so bitchy and mean and terrible,disgust
ive had a long road of that initially feeling like i was being rude for turning down food that was made brought for me and sometimes eating stuff because it was gluten free and looked delicious even if it maybe wasnt what i felt good about eating some really mediocre wedding cake for example,anger
i feel im not bothered by that,anger
i p i could sit here and beat myself up over it all but im feeling far to rebellious for that today basically im feeling angry at the world and at myself all at the same time,anger
im totally feeling bitchy and resentful about it,anger
i drove to class i was feeling a little apprehensive but still no sweat,fear
i feel so weird that it feels like i wanna curse everything and bang my head onto the wall so that my world will be back to its focus,disgust
i feel you see frantic and thus i am afraid,fear
i feel a little bit frightened of islam,fear
i feel like any time anyone gets into the ring with him they are so intimidated by his arms and legs they dont even really try,fear
im feeling cranky cantankerous and resentful like a house slave basically almost all the mothers i know rely heavily on either alcohol marijuana or separation divorce to get some space and sanity for themselves away from their maternal responsibilities,anger
i was going crazy thank god i have a craving for fruits and chocolate it made me go out in the cold with a gross wind blowing in my neck feeling mad and angry and crappy,anger
i had begun to feel apprehensive when thick black rain clouds stormed into the sky above town,fear
i think that they pop up so automatically because seeing those pictures or people makes me feel insecure about myself,fear
i have a feeling hell be a casual favorite if blue or red are heavy colors at your casual tables otherwise i could see it in tournament decks while red is popular and possibly when if blue steps in its place one zendikar block rotates out,sadness
i feel bothered,anger
i have noticed that if i go with out i start to feel irritated at him or easily annoyed by the things he does i feel this tiny ache inside of me almost unnoticeable the first few days as if a tiny hair had burrowed its way into my foot,anger
i said without emotion while feeling a freaked out fearful anxiety welling up in my chest,fear
i find it very hard to feel relaxed for more than hours,sadness
i just make assumptions based on what i see think feel i ve wondered this before with strange things,surprise
i feel your motivation will be satisfied when you read this write up also who understands,joy
i walk in the door to my house i feel happy,joy
i feel more terrified than the customers will be in my maze,fear
i didn t feel as terrified or as nervous as i normally would in that type of situation,fear
i am wearing and feeling confident about myself,joy
i feel like i am as fearful now as i was when i first threw my leg over the top tube after my surgery,fear
i confess to feeling a bit nervous now though there are some very talented people in the group,fear
i managed to eat more than i usually can on race morning mostly because jon was there and i didnt feel quite as nervous,fear
i had never read the posts i never would have spent the emotional and mental energy to argue with them in my head or feel irritated by them,anger
i feel pressured at times to succumb to fear and insecurities but thankfully i am still able to hold it on my own,fear
i feel so enraged that i want to punch him but i don t because he s only years old,anger
i think the sooner we do the better well all feel greg im already in a distressed mood mom,sadness
im so excited but feeling kind of shy about it smile,joy
i wear it i feel anxious visable spotlighted different unfashionable stupid embarrassed ashamed and paranoid,fear
i feel satisfied and happy with my choices today,joy
i walked away feeling inspired and excited about realistic things i could do to increase my blog s chances for being found,joy
i looked around and once again was disappointed that so little had shown up this evening but apparently this was my day to feel selfish,anger
i always notice even though she is fabulous at hiding it according to the rest of the world and feel it keenly and am greatly distressed,sadness
i feel uncomfortable when i need to sit through a bad presentations,disgust
i feel helpless because i cannot stop it,anger
im feeling disgusted already but seriously though i dont really like to have my pictures taken cause ive always referred to myself as ugly,disgust
i wish that the girl he asked to prom had accepted his invitation that way i couldve been heartbroken and done with my feeling for him but now im just so indecisive,sadness
i want to not feel shy with them i want to have fun with them,joy
i should have left this movie feeling frightened or at the very least convinced that this number held some kind of mystical power or was the key to some government conspiracy but no,fear
i always feel i always understand that the people who are being the most hateful and harmful towards me are hurting themselves and taught wrongly and i hurt for them because i want to go back and undo the pain and childhood bigotry that binds their lives into this path,sadness
i know who all think this way so i ve always feel skeptical about painting my nails red since i also have light skin so the red is really going to stand out is there a cute way for a year old to wear red nails without looking like she s trying too hard or looking like a hooker,sadness
i is an extremely positive feeling a divine energy who alone can take our quaking boat to the shore,sadness
i feel in the long run this hurts paulie as you could visibly see how distraught he was with the result and the perception of his performance,sadness
i wonder how genentech feel about a hostile takeover by its global partner,anger
i dont hate you i just honestly feel so bitter towards you atm,anger
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,surprise
i find it hard to feel jolly when throngs of people around me are so lost in the fervor of getting stuff that they cant see their heart for the green in their wallet encouraged by the constant barrage and pressure from every angle to shop here and buy more,sadness
i can think about is how lonely i feel im all grouchy and agitated and esily airritated,anger
i am feeling apprehensive about this move and worried i have blown all my money that was meant to pay my rego,fear
i told her that we cannot continue this way and when she is starting to feel frustrated she has to let me know in a calm way,anger
i was capable of doing the same as of late ive been feeling pretty bitter and depressed and not a lot of gratitude in general,anger
i worry about all of the time ive been spending on the computer and about how i feel so distracted by the party,fear
i didnt feel scared at all,fear
ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me,fear
i started to develop feelings for you they scared me and i freaked out but you promised me that i was safe,fear
i feel rude feel free to grab the seat next to me,anger
i feel irritated useless and hopeless,anger
i don t feel bothered about it getting credit equals getting debt and i have no interest in doing that again,anger
i hurt your feelings or angered you with my last rant im sorry,sadness
i was feeling angry at myself for feeling self conscious about my shorts or for wishing that i wasnt alone,anger
i feel petty things but not to the extent that humans seem to feel them wars have been started over stupid little things and try as i might i cannot understand how things such as loving two people or feeling jealous can lead to murder and unhappiness,anger
i was just yesterday feeling uncomfortable with highschool sigh,disgust
i feel stressed out i would watch movies alone or just walk on the streets alone,sadness
i feel myself getting agitated over something insignificant or feeling bored i m going to remember this quote,anger
im feeling very angry kind of sad tired and bored today,anger
i feel very distressed because i m supportive of this campaign and with the senator jackson told cnn,sadness
i started to feel apprehensive about it,fear
i should not feel afraid we can stop shoulding all over ourselves,anger
im feeling bitter towards them god,anger
im being a teenager people and if you feel the need to make sarcastic bitchy comments you can kindly fuck off,anger
i hate seeing those red windows even more as what i feel inside resonates with the cold uncaring world i know exists behind them making me even more aware of this pain inside of me,anger
i came to china feeling a little frightened of everything around me,fear
i get the feeling that nellie is satisfied that the phone rang happy that leslie is out of the room now,joy
i do feel weird why seldom people eat at there,disgust
i am not feeling fearful,fear
i slow a bit to stay with him partly because i am feeling like if i start to win he will just give up and partly because i am afraid that if i push it he will kill himself trying to stay with me,fear
i did feel that the ending was a bit rushed and i do wonder if i might have missed certain signs but its a small thing when the story happens to be addictive and you dont notice the time passing by,surprise
i did not feel like i was on the edge and it got to a point where i wasn t bothered about who wins and to hell with it whether this fight will even end,anger
i feel overwhelmed when i think of a country suffering,surprise
i feel so heartless sometimes because i do not have the ability to mourn for the lost of someone relating to my past grandparents,sadness
i couldnt help feel infuriated when i had left the building,anger
i didn t need to mention our difference but i was feeling very vulnerable because of the differences and was having a bit of fear that in someway i am doing something wrong,fear
im already feeling less agitated,anger
im thinking that feeling extremely cold yesterday was more down to me brewing something than the actual weather,sadness
im most expressive when i feel distraught,sadness
i don t feel frustrated anymore from the fierce us media campaign against egypt because the more they attack us the more we know that we are on the right track,anger
i feel so uncomfortable about the word hero,disgust
i heard it somehow it brings me good feeling strange,surprise
i started explaining what my biggest problems were bottling up my feelings and then dumping all those problems onto one person and my selfish search for happiness when i had felt everyone around me had found their happiness,joy
i call someone i feel like i need to at least talk a few minutes to not be rude,anger
i feel strange being thankful when such awful things on the other sides of the oceans that surround that country happen on a daily basis,disgust
i knew i needed to get over there but had been dragging my feet a combo of feeling intimidated by the language barrier and the kids nap schedules,fear
i was still feeling weird about the day before,disgust
i started to feel super emotional all the time which was so strange,surprise
i was really hoping that theyd get far enough ahead of us that we could feel like we were doing our own navigating so i was delighted when after punching the second control they headed off onto a trail through the woods,joy
i feel so frustrated but i cant tell them i am,anger
i wanted to say something to her but it was just a bad vibe and i was feeling hostile didnt think it was a good night to do so,anger
i feel the eyes of many turn away disgusted by the self indulgence the audacity of a british woman to admit this point of failure,disgust
i feel jealous of everyone who has the chance to meet you everyday,anger
i brought up privately a couple weeks ago that i felt targeted after feeling frustrated and belittled,anger
i feel glad i can still teach him at home myself,joy
im feeling overwhelmed i can just give people the middle finger or tell them to f off,surprise
ive had a feeling of being satisfied with the performance of my car,joy
i feel tat all of us in this world are clever just depending on how u are born if u are born to be errrr not good but it will still would have some good things that u have it just that u dun realise it lol i noe its quite lame hope no one have read it img src http shared,joy
i do have to wonder when you re cast as a caveman and you re told you re perfect for the part do you feel insulted or complimented,surprise
i feel highs so ecstatic that just being normal feels like a thousand mile drop and being unhappy is excruciating,joy
ive worked plenty of them and have yet to find one that leaves me feeling satisfied with the way ive spent another day that i will never get back,joy
i don t know why i am feeling so sarcastic tonight but christian seems to enjoy my banter and every time seth apologizes for my behavior christian tells him it s quite alright and locks eyes with me,joy
i find myself feeling agitated because of how what the kids are playing i ask myself did i play this way when i was little,anger
im feeling so excited and eager,joy
i don t have any issues with the obvious i went chinese with them yesterday and i wasn t feeling hostile towards any of them,anger
i find that i never stop feeling excited for our company s future,anger
i sat with dave atell at first trying not to feel rude while the guys were eating,anger
i feel almost angry that i have been fed like a lab rat for so many years,anger
i couldnt feel thing however that kind of bothered me because i didnt feel it pop,anger
i feel insecure all the time,fear
i said feeling strange uttering those words but space flight was still a pretty novel way of traveling in my time,surprise
i can feel his impatient and i can t stop my body from giving him positive response,anger
i have had a lot of uncaring men in my life and it still feels strange to have several that call come by and reach out to me when i am at my weakest moments,surprise
i don t i risk feeling vulnerable the feeling that everyone is staring at me and examining every little dimple in my thigh and sag in my arm,fear
ive also discovered that because i feel less agitated by caffeine and cravings this coping method is unnecessary huge,anger
i went in there feeling a little hostile because it felt like they didnt really care about me,anger
i just feel distressed i dont know why though but i do,sadness
ive been feeling so anxious and nauseous and tired but also so elated that some nights its all i can do to crawl into bed,disgust
